Invention,Year,Inventor,Category,Category 2,Earlier independent plausible description/patent of the concept?,Other development efforts?,Other successes or near successes?,Notes,Sources,Source Link,,,
First self-sustaining gas turbine,1903,Ægidius Elling,Mechanical,Chemical,,Yes,,"""As more steam turbines were being built in the early 20th century, engineers also experimented with gas turbines. Because a gas turbine could use burning gasses directly instead of using them to heat up water first, it was theoretically simpler than a steam turbine. A gas turbine could omit heat exchangers, boilers, cooling towers, and all the other steam-handling equipment that a steam turbine required. This made a gas turbine a compelling proposition, if it could be made to work. In his 1939 retrospective on the early history of gas turbines, Adolf Meyer described them as “the long cherished dream of engineers,” and that “hardly any other kind of machine has received more attention from inventors, skilled and otherwise.” By 1900, there had been hundreds of proposals to build a gas turbine.

As with the steam turbine, the basic ideas behind the gas turbine preceded its construction by many years. Smoke jacks, which used rising smoke and hot air to rotate a fan which turned a spit, date to the 1400s, and in 1791 John Barber patented the design for a gas turbine (though it was never built). But modern gas turbines weren’t built until the early 1900s. In 1903, Rene Armengaud and Charles Lemale built a gas turbine in Paris that successfully generated 220 kilowatts of work. In 1904, F. Stolze built a “hot air engine” in Berlin, which used compressed air that had been heated in a furnace to drive a turbine. And between 1903 and 1907, extensive experiments on gas turbines were performed at General Electric by Sanford Moss (who would spend the rest of his career developing turbochargers for aircraft engines).""",Construction Physics,https://www.construction-physics.com/p/how-the-gas-turbine-conquered-the,,,
Laminated safety glass,1903,Édouard Bénédictus,Mechanical,,,Yes,,"""While John C. Wood of England patented an early form oflaminated glass in 1906,[3] it languished due to technicaldifficulties in its fabrication.[4–5] As such, laminated safety glass istypically attributed to the French chemist Edouard Benedictus(1878–1930, Figure 1), who developed the first practical form acouple years later.""",Art and Inspiration: Edouard Benedictus and the Inventionof Laminated Safety Glass,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/cplu.202400572?saml_referrer,,,
"First sustained, controlled powered flight",1903,Orville and Wilbur Wright,Mechanical,,,Yes,,"""The Frenchman Clement Ader constructed his first of three flying machines in 1886, the Éole. It was a bat-like design run by a lightweight steam engine of his own invention, with four cylinders developing 20 horsepower (15 kW), driving a four-blade propeller. The engine weighed no more than 4 kilograms per kilowatt (6.6 lb/hp). The wings had a span of 14 m (46 ft). All-up weight was 300 kilograms (660 lb). On 9 October 1890, Ader attempted to fly the Éole. Aviation historians give credit to this effort as a powered take-off and uncontrolled hop of approximately 50 m (160 ft) at a height of approximately 200 mm (7.9 in).[29][30] Ader's two subsequent machines were not documented to have achieved flight.[31]""",Wikipedia,https://en.wikipedia.org/wiki/Airplane#History,,,
Fleming valve,1904,John ambrose Fleming,Electronic,,,,,,,,,,
First free helicopter flight,1907,Paul Cornu,Mechanical,,,,Yes*,"""In 1904 French scientist and academician Charles Richet built a small, unpiloted
helicopter. While the machine was unsuccessful, one of Richet's students was the
future famous aviation pioneer, Louis Breguet. During the latter part of 1906, the
brothers Louis and Jacques Breguet had begun to conduct helicopter experiments of
their own under the guidance of Professor Richet. The Breguet Brothers were of an
affluent famous clock making family, and were subsequently to become pioneers in
French aviation. Louis Breguet made meticulous tests of airfoil shapes, paralleling
those of the Wright Brothers [see Anderson (1997)], and without a doubt understood
the essential aerodynamic theory of the helicopter. In 1907, the Breguet Brothers
built their first helicopter. Their ungainly quad-rotor Gyroplane No.~1 consisted of four
long girders made of steel tubes and arranged in the form of a horizontal cross. A
rotor consisting of four biplane blades was placed at each of the four corners of the
cross, giving a total of 32 separate lifting surfaces. The pilot sat in the center of the
cross next to a 40-hp engine. The machine is reported to have carried a pilot off the
ground, albeit briefly. Photographs show the assistance of several men stabilizing
and perhaps even lifting the machine. Clearly, the machine never flew completely
freely because, like the Cornu machine, it lacked stability and a proper means of
control. However, the Breguet machine was more sophisticated and probably closer
to achieving proper vertical flight than the machine built about the same time by Paul
Cornu.
In the early 1900s, Igor Ivanovitch Sikorsky and Boris Yur'ev independently began to
design and build vertical-lift machines in Czarist Russia. By 1909, inspired by the
work of Cornu and other French aviators, Sikorsky had built a nonpiloted coaxial
helicopter prototype""",A History of Helicopter Flight,https://itlims-zsis.meil.pw.edu.pl/pomoce/WTLK/ENG/Sup/A_History_of_Helicopter_Flight.pdf,,,
Bakelite,1907,Leo Baekeland,Chemical,,,Yes,,"""Two lines of development are important for us here. First, the stabilization of Celluloid
had created a new market for plastic materials: But the features that these plastics were required to have became more and more sophisticated, and Celluloid could not fulfill all demands. The second line was the development of chemical synthesis in the nineteenth century. At this intersection of developments, several chemists started to investigate the phenol-formaldehyde reaction again, but now for the first time with the
explicit objective of synthesizing a plastic material.""","Of Bicycles, Bakelites and Bulbs p120",,,,
Ramjet concept,1907,Rene Lorin,Mechanical,,Yes,,,"Subsequent descriptions ""Apparently the first person to recognize the possibility of using ram pressure in a propulsive device was Rene Lorin of France, who published an article on the subject in L'Aerophile in May 1913. Lorin did not visualize flight at supersonic speeds and concluded that the efficiency of the engine would necessarily be very poor.Benjamin Charles Carter, an Englishman, in a patent application (l) 2 filed in 1926, presented details of two ramjet-like devices for propelling shells, one with an annular duct and conical nose, the other with a cylindrical duct and normal intake. Carter showed considerable insight into the construction of a ramjet. He noted the problem of flameholding in an air stream of 300 ft/sec and proposed contrastream injection of fuel as a means of atomization and vaporization. He considered operation with combustor pressures of 2 to 6 times atmospheric (Mach 1 to 2) and ambient pressure as low as 5 psia (28,000 ft). Fig. 1 (from the patent application) shows Carter's two configurations. (The nozzle closure shown is detached after boost.) There is no evidence that any tests were made of Carter's invention. e as a prototype of today's ramjets occurs in a German patent (2) applied for in 1928 by Albert Fono of Budapest. Fono describes its use specifically for supersonic flight and furnishes a design for a convergent-divergent inlet (Fig. 2). Fono's invention, like Carter's, apparently never progressed beyond the design stage. """,Twenty-Five Years of Ramjet Development,,,,
Cellophane,1908,Jacques Brandenberger,Chemical,,,,,,Science and corporate strategy p170,,,,
Haber-Bosch process,1909,Fritz Haber,Chemical,,,Yes,,"Bosch came in to improve Haber's process later, but others were working on nitrogen fixation: ""In 1902 Adolf Frank (1834-1916) and Nikodem Caro (1871-1935) at the Technische Hochschule in Charlottenburg developed the cyanamide process for ammonia production. In 1903 Kristian Birkeland (1867-1917) at the University of Christiania (Oslo) and Samuel Eyde (1866-1940), the general director of Norsk Hydro in 
Christiania, invented the Birkeland-Eyde electric arc process. Most significantly, 
Fritz Haber (1868-1934) in Karlsruhe was working, like Nernst, on a direct synthesis of ammonia from its elements, and in 1904, two years before Nernst, he 
actually succeeded. But Haber, working with George van Oordt, carried out the 
reaction at atmospheric pressure (P = 1 atm, T = 1020?C, iron catalyst) and 
obtained only a 0.012 percent yield.5 
Although Nernst's high-pressure synthesis was more successful, it was Haber 
who continued the research that eventually led to commercial production."" ""Yet another failure came during the next year when Henry Louis Le Cha ˆ telier
(1850–1936) attempted ammonia synthesis at high pressure. He calculated the re-
quired temperature, pressure, and amount of iron catalyst in 1900, but in 1901,
when testing his theoretical results, his small high-pressure apparatus blew up, and
he abandoned his research.12 Haber found out about his work only a long time after
he had completed his successful experiments."" ""WilhelmOstwald (1853–1932), one of Germany’s most famous scientists, realized that a military conflict with the superior naval power would cut off nitrate imports from Chile and deprive Germany of nitrogen needed for its fertilizer and explosives. Ostwald thought he had found an excellent solution to circumvent this potential threat. On March 12, 1900, he notified his friend Heinrich von Brunck (1847–1911), General Director of the BASF in Ludwigshafen, that he had succeeded in synthesizing NH3 from its elements in the presence of an iron catalyst at elevated temperature and atmospheric pressure. (He also notified Farbwerke Hoechst, another large German chemical company.) Ostwald believed that the low costs of theprocess, both in material and energy terms, would revolutionize the supply of fixed nitrogen""","Enriching the earth p62, 64, Friedrich Bergius and the Rise of the German Synthetic Fuel Industry",https://samisdat.in/en/blog/oil-from-coal/1984%20-%20Friedrich%20Bergius%20and%20the%20Rise%20of%20the%20German%20Synthetic%20Fuel%20Industry%20-%20Anthony%20N.%20Stranges.pdf,,,
First static-image television transmission,1909,Georges Rignoux & A. Fournier,Electronic,,,Yes,,"""As a 23-year-old German university student, Paul Julius Gottlieb Nipkow proposed and patented the Nipkow disk in 1884 in Berlin.[6] This was a spinning disk with a spiral pattern of holes in it, so each hole scanned a line of the image.

Although he never built a working model of the system, variations of Nipkow's spinning-disk ""image rasterizer"" became exceedingly common.[6] Perskyi's paper reviewed the existing electromechanical technologies, mentioning the work of Nipkow and others.[7] However, it was not until 1907 that developments in amplification tube technology, by Lee de Forest and Arthur Korn among others, made the design practical.[8]

Maurice Leblanc
In 1880, French physicist Maurice Leblanc published an article ""Etude sur la transmission électrique des impressions lumineuses"" (""Study on the electric transmission of light impressions"". Amongst various proposals, it included the idea of using oscillating mirrors. This idea will be tested by various inventors, including the Austro-Hungarian Wilhelm von Szygarto (1894), the French Emile Desbeaux (1891), the Polish Jan Szczepanik (1897), the Austrian Bendict Schöffler (1898), the US engineer Alexander McLean Nicolson and the Ungarese Denes von Mihaly.[9]

Rignoux and Fournier
The first demonstration of instantaneous transmission of images was by Georges Rignoux and A. Fournier in Paris in 1909. A matrix of 64 selenium cells, individually wired to a mechanical commutator, served as an electronic retina. In the receiver, a type of Kerr cell modulated the light and a series of variously angled mirrors attached to the edge of a rotating disc scanned the modulated beam onto the display screen. A separate circuit regulated synchronization. The 8×8 pixel resolution in this proof-of-concept demonstration was just sufficient to clearly transmit individual letters of the alphabet. An updated image was transmitted ""several times"" each second.[10]

Rosing
In 1911, Boris Rosing and his student Vladimir Zworykin created a system that used a mechanical mirror-drum scanner to transmit, in Zworykin's words, ""very crude images"" over wires to the ""Braun tube"" (cathode-ray tube or ""CRT"") in the receiver. Moving images were not possible because, in the scanner, ""the sensitivity was not enough and the selenium cell was very laggy""""","Wikipedia, Television an international history p102 has lots of proposals",https://en.wikipedia.org/wiki/History_of_television,,,
Cloud chamber,1911,CTR Wilson,Other,,,,,,,https://en.wikipedia.org/wiki/Cloud_chamber,,,
Electric slot cars,1912,Lionel Corporation,Electrical,,,,Yes,"""Interestingly we know now that Lionel was not the first to issue such a set, in fact a French model-railroad company did, 4 years earlier. However commercial success must not have been that great because... we cannot find a set or a car.""",Slotforum.com,,,,
First articulated electric trams,1912,Boston Elevated Railway,Electrical,,,,,,,,,,
Bergius high-pressure coal hydrogenation process,1913,Friedrich Bergius,Chemical,,,,,,,https://samisdat.in/en/blog/oil-from-coal/1984%20-%20Friedrich%20Bergius%20and%20the%20Rise%20of%20the%20German%20Synthetic%20Fuel%20Industry%20-%20Anthony%20N.%20Stranges.pdf,,,
Kaplan axial-flow adjustable blade turbine,1913,Viktor Kaplan,Mechanical,,,,,,,https://oaktrust.library.tamu.edu/server/api/core/bitstreams/a72521b2-9bfb-44d0-9f7a-49fe6d8f16d1/content,,,
Stainless Steel,1915,Harry Brearley,Chemical,,,,Yes,See previous stainless steel mention,,,,,
First practical battle tanks,1915,Walter Wilson & William Tritton; Eugène Brillié,Mechanical,,,,Yes,"""After a first concept by Jacques Quellennec devised in November 1914, the type was developed from May 1915 onwards by engineer Eugène Brillié, paralleling British development of tanks the same year.""",Wikipedia,https://en.wikipedia.org/wiki/Schneider_CA1,,,
Czocharlski crystal pulling,1916,Jan Czochralski,Chemical,,,,,,,https://www.sciencedirect.com/science/article/pii/S0022024813008579,,,
Crystal oscillator,1917,Alexander Nicholson,Other,,,,Yes,"""After the Curies the first application of the piezoelectric effect was made by Prof. P. Langevin in France in 1917. Langevin used X-cut plates of quartz to generate and detect sound waves in water. His object was to provide a means for detecting submarines and his work led to the development of SONAR and to the science of ultrasonics, the results of which are still making headlines (viz., the recent announcement of the successful use of ultrasonic imaging in mammography).

Langevin's work stimulated others to investigate the phenomenon of resonance in piezoelectric crystals. Among those who became interested were A.M. Nicholson of the Bell Telephone Laboratories and Prof. W. G. Cady at Wesleyan University. Both men, working with Rochelle salt, observed the reaction of the resonant piezoid on the driving circuit and both applied for patents based upon their observations. Subsequent litigation resulted in a legal decision in favor of Nicholson who is therefore considered to be the inventor of the piezoelectric oscillator.""",A HISTORY OF THE QUARTZ CRYSTAL INDUSTRY IN THE USA,https://web.archive.org/web/20080920080605/http://www.ieee-uffc.org/fc_history/bottom.html,,,
Fischer-Tropsch coal-to-liquid process,1925,Franz Fischer & Hans Tropsch,Chemical,,,,,,,,,,
Yagi-Uda directional antenna,1926,Shintarō Uda with Hidetsugu Yagi,Electrical,,,,,,,,,,
Liquid fueled rocket launch,1926,Robert Goddard,Mechanical,Chemical,Yes,,,"""In his book, Hermann Oberth focused on rocket dynamics. He considered the powered vertical flight through the atmosphere and introduced a concept of the optimal velocity (""most favorable velocity,"" as he called it) that minimizes propellant consumption. He showed how a rocket could achieve the velocity allowing it to escape Earth's gravity. He described the details of liquid-propellant engines and calculated propellant exhaust velocities. Oberth introduced a number of ideas such as rocket staging, film cooling of the engine walls, and strengthening the structure by pressurizing propellant tanks...Hermann Oberth did his work on rocket dynamics independently of other researchers. He became familiar with the work of Robert Goddard and Konstantin Tsiolkovsky in 1922 and 1925, respectively.""",Blazing the trail p126,,,,
Three-point hitch,1926,Harry Ferguson,Mechanical,,,,,,,,,,
First public live-image television demo,1926,John Logie baird,Mechanical,,,Yes,,"""Baird’s principal contemporaries in this challenge were C F Jenkins of the US and 
D von Mihaly of Hungary. Other inventors were patenting their notions on television at this time (1923), but only Jenkins, Mihaly, Baird and a few others were 
pursuing a practical study of the problem based on the utilisation of mechanical 
scanners. """,Television: An International history p148,,,,
Quartz Clock,1927,Warren Marrison & J. W. Horton,Other,,,,,,,https://en.wikipedia.org/wiki/Quartz_clock#History,,,
Discovery of penicillin's antibiotic action,1928,Alexander Fleming,Medical,,,Yes,,"""In his landmark thesis, Duchesne proposed that bacteria and molds engage in a perpetual battle for survival.[3] In one experiment, he treated cultures of Penicillium glaucum with media containing either bacteria that cause typhoid fever (Salmonella enterica subsp. enterica, formerly: Bacillus typhosus (Eberth)) or Escherichia coli (formerly: Bacterium coli communis) ; the Penicillium succumbed to the bacteria.[4] Nevertheless, he wondered whether the Penicillium might have weakened the bacteria before the mold perished.[5] So he injected guinea pigs with media containing bacteria (either typhoid or E. coli) and media containing Penicillium glaucum. The animals survived and were rendered immune to the bacteria.[6] He speculated that molds might release toxins, as some bacteria do.[7] To treat diseases, he proposed using media in which either bacteria or molds had been cultured..While only weakly conclusive given the number of the experimental trials, this proves Duchesne understood, concluded, and published information about the effect of the Penicillium glaucum mold as a therapeutic agent in animals. Because he was 23 and unknown, the Institut Pasteur did not even acknowledge receipt of his dissertation.""",Wikipedia,https://en.wikipedia.org/wiki/Ernest_Duchesne,,,
Turbojet,1928,Frank Whittle,Mechanical,,,,Yes,"""Turbojets emerged independently from the work of four men: Frank Whittle in England, and Hans von Ohain, herbert Wagner, and Helmut schelp in Germany.""",The Origins of the Turbojet Revolution p179,,,,
First practical all-electric television,1928,Philo Farnsworth,Electronic,,,,Yes,"""In the 1920s several inventors gave some thought to the means—based on the use of cathode rays—which would allow an all-electronic television system to be imple- mented. Pre-eminent among them were V K Zworykin and P T Farnsworth. Their early schemes were to be much developed and were to be the only viable all-electronic notions, of those put forward in the 1920s, which were utilised in the 1930s.""",Television: An Iinternational history p345,,,,
Recirculating ball screw,1929,Rudolph G. Boehm,Mechanical,,,,,,,,,,
Phase-contrast microscopy,1930,Frits Zernike,Other,,,,,,,,,,
Electron microscope,1931,"Ernst Ruska, with Max Knoll",Electronic,,,,Yes,"""To this day the issue of who invented the transmission electron microscope is controversial.[8][9][10][11] In 1928, at the Technische Hochschule in Charlottenburg (now Technische Universität Berlin), Adolf Matthias (Professor of High Voltage Technology and Electrical Installations) appointed Max Knoll to lead a team of researchers to advance research on electron beams and cathode-ray oscilloscopes. The team consisted of several PhD students including Ernst Ruska. In 1931, Max Knoll and Ernst Ruska[12][13] successfully generated magnified images of mesh grids placed over an anode aperture. The device, a replicate of which is shown in the figure, used two magnetic lenses to achieve higher magnifications, the first electron microscope. (Max Knoll died in 1969, so did not receive a share of the 1986 Nobel prize for the invention of electron microscopes.)

Apparently independent of this effort was work at Siemens-Schuckert by Reinhold Rüdenberg. According to patent law (U.S. Patent No. 2058914[14] and 2070318,[15] both filed in 1932), he is the inventor of the electron microscope, but it is not clear when he had a working instrument. He stated in a very brief article in 1932[16] that Siemens had been working on this for some years before the patents were filed in 1932, claiming that his effort was parallel to the university development""",Wikipedia,https://en.wikipedia.org/wiki/Electron_microscope,,,
FM Radio,1933,Edwin Armstrong,Electrical,,,Yes,,"""Although most histories of frequency-modulation radio state that Armstrong invented the technology in December 1933, FM appears more than thirty years earlier in American and Danish patent records. On 10 February 1902 a Philadelphian 
named Cornelius Ehret filed a patent application for a frequency-modulation 
system.5
 Seven months later, Valdemar Poulsen applied for a Danish patent for a 
radio-frequency “arc oscillator” that also employed FM.6
 These two men shared little beyond being contemporaries, however. Ehret began as an unknown amateur and, despite his invention, remained so, but Poulsen had already achieved international recognition by inventing magnetic recording. Further, Ehret explicitly claimed to have invented a frequency-modulation system of wireless telegraphy and telephony, though he failed to make a functional prototype. By contrast, 
Poulsen eventually made a radiotelegraph system using a method of frequency 
modulation that he would renounce, but which practitioners would copy for 
more than two decades""",Early FM Radio p18,https://core.ac.uk/download/pdf/534898148.pdf,,,
Lightweight folding wheelchair,1933,Harry C. Jennings Sr. & Herbert Everest,Mechanical,,,,,,,,,,
Nylon synthetic fiber,1935,Wallace Carothers,Chemical,,,,,,,,,,
Programmable computer,1938,Konrad Zuse,Mechanical,,,,Yes,"Atasanoff-Berry computer was simultaneous, and ideas were in the air generally: ""Atanasoff immediately set to work constructing such a machine. Hecompleted the plans for the computer by the end of 1938. In early 1939,he secured a grant to employ an assistant and construct the machine. ByOctober 1939, Atanasoff and his assistant, Clifford Berry, had a smallworking model, which they referred to as a breadboard prototype. Con-struction of the full scale machine was well underway by late spring of1940. Atanasoff and Berry also prepared a thirty-five page description ofthe theories and construction ideas involved""",The Invention and Future of the Computer,https://core.ac.uk/reader/480861290,,,
Nuclear fission,1938,"Otto Hahn, Fritz Strassmann; Lise Meitner & Otto Frisch",Chemical,,Yes,,,"Ida Noddack had suggested the idea in 1934, but was ignored. ""a paper by Noddack (1934) suggesting that the uranium nucleus had broken up. In her paper of 1934 Noddack is critical of Fermi’s limited elimination of elements lighter than uranium, only down to lead. She points out, rightly so, that the old view that radioactive decay forms a series ending in lead or thallium had been ‘‘disproved’’ by the Joliot-Curies’ discovery of artificial radioactivity (Joliot-Curie and Joliot-Curie 1934), andtherefore Fermi should have compared his product with a half-life of 13 min ‘‘with all known elements’’. Noddack (1934) also questions the principle mentioned above that only small changes in the nucleus occurs in nuclear reactions, and states; ‘‘it is conceivable that the nucleus breaks up into several large fragments, which would of course be isotopes of known elements but would not be neighbours of the irradiated element.’’14 Noddack was in fact quite correct, as this is what happens in nuclear fission, but everyone ignored her suggestion.""",The history of the discovery of nuclear fission,,,,
Defibrilator,1939,Naum Gurvich,Electrical,,,Yes,,"""It was the result of efforts by many devoted experts, many of them working in parallel or in competition, that led to the creation of defibrillation as we know it today. While Prevost and Battelli were experimenting with dogs and internal electrodes, another scientist, Louise Robinovitch, very nearly invented both the external pacemaker and the transthoracic defibrillator. Working on cases of respiratory and cardiac arrest due to chloroform poisoning between 1906 and 1909, Robinovitch found that existing methods of resuscitation took too long to set up while the patient was deprived of oxygen [17]. She suggested using electrical current to induce both respiration and heartbeat without opening the chest cavity, and in fact designed a device that could be 
carried by an ambulance and plugged into the household electricity grid. However, as in the case of her predecessors, the work was crippled by the lack of scientific understanding of the mechanism of fibrillation...The Rockefeller Institute funded 
more research on the cause of electrocutions, distributing money to several academic centers and laboratories – including Johns Hopkins University, where physicians Orthello Langworthy and Donald Hooker were working with engineering professor William Kouwenhoven, and accidentally rediscovered defibrillation as well as what would eventually become CPR...Later they found the Prevost and Battelli papers and acknowledged them...Meanwhile, former students of the earlier pioneers were 
continuing their work far from its places of origin. In the United States, Carl Wiggers at Western Reserve University was pursuing the line of investigation he began in his stu ent days under his mentor, W.P. Lombard, who himself had been a student of Carl Ludwig’s. He set out to untangle the basic causes and mechanisms of fibrillation; the research 
paid off. In 1940, Wiggers published a landmark paper, giving for the first time a mechanistic explanation for the induction of ventricular fibrillation, through the concept of the vulnerable period [21]. According to the Wiggers-Wégria model, fibrillation can occur if a second heartbeat is initiated before the natural end of the preceding contraction is reached. This period coincides with the appearance of the 
T-wave on the ECG. A distinctive property of the vulnerable period is such that it responds in the same fashion to stimulation of different sorts: fibrillation may result from artificial stimulation by electricity, or from more “natural” physiological triggers (Fig. 2.6).Wiggers is often credited with resurrecting the line of inquiry into electrical defibrillation, not only because of his scientific breakthrough, but also because of his assiduous efforts to fight institutional reluctance to investigate human 
defibrillation further.",History of Defibrillation,,,,
Plutonium isolation,1940,"Glenn T. Seaborg, Arthur Wahl & Joseph Kennedy",Chemical,,,,,,,,,,
Cavity Magnetron,1940,John Randall & Harry Boot,Electrical,,,,Yes,"""And so although Randall and Boot thought their device was the first, several others independently invented the cavity magnetron. If there was a first, it's probably Arthur L. Samuel of Bell Telephone Laboratories. He filed a U.S. patent application for a four-cavity magnetron in 1934. Unfortunately, his design was not very practical.

N.F. Alekseev and D.D. Malairov developed a successful multicavity magnetron in 1937, but this work wasn't known outside of the Soviet Union until 1940 [PDF]. In Japan, a joint research program of the Japanese Navy and the Japan Radio Company led to an eight-cavity magnetron by 1939. But lack of materials hampered its manufacture.""","From World War II Radar to Microwave Popcorn, the Cavity Magnetron Was There",https://spectrum.ieee.org/magnetron,,,
PET Fiber,1941,John R. Whinfield & James T. Dickson,Chemical,,,,,,,https://www.scholarsresearchlibrary.com/articles/polyester-the-workhorse-of-polymers-a-review-from-synthesis-to-recycling.pdf,https://www.science.org/doi/epdf/10.1126/science.173.3994.287,,
V-2 (A-4) long-range ballistic missile,1942,Wernher von Braun with the Peenemünde Army Research Center,Mechanical,,,,,,,,,,
Influenza vaccine,1944,Thomas Francis Jr. & Jonas Salk,,,,,Yes,"""The first clinical trials of influenza vaccines were conducted in the mid-1930s [24, 25].

A study by Smith, Andrewes and Stuart-Harris was conducted among military forces in England in 1937 using a subcutaneous vaccination with an inactivated strain isolated from a mouse lung [25].""",History and evolution of influenza control through vaccination: from the first monovalent vaccine to universal vaccines,https://pmc.ncbi.nlm.nih.gov/articles/PMC5139605/,,,
Atomic bomb,1945,Manhattan Project team,Chemical,,,Yes,,,,https://en.wikipedia.org/wiki/German_nuclear_program_during_World_War_II,,,
Microwave oven,1945,Percy Spencer,Electrical,,,,,,,https://media.ellinikahoaxes.gr/uploads/2019/05/osepchuk2009.pdf,,,
Radiocarbon dating,1946,Willard Libby,Other,,,,,,,https://www.acs.org/education/whatischemistry/landmarks/radiocarbon-dating.html?utm_source=chatgpt.com,,,
Ejector seat,1946,James Marti,Mechanical,,,,Yes,"""While several people essentially invented ejection technologies independent of one another, it is widely accepted that the first ejection seat (as they are properly called) was patented in 1916 by a man named Everard Calthrop...It was the Germans who first took to the trend, creating the first production craft to come equipped with an ejection system, the Heinkel 280. Developed in 1940, the turbo-powered jet never went into full production, but the nine of them that were made were outfitted with a seat that would be blown clear of the craft using compressed air. During testing the Heinkel 280’s escape seat even managed to save the life of pilot Helmut Schenk after his instruments froze over. Schenk is now seen as the first person ever to be saved by the use of an ejection seat.

Not long after the Germans started using ejection seats, the trend began to spread. Just a year after the Heinkel debuted, the Swedish SAAB company created an ejector seat technology for one of their planes, and by 1946 the United Kingdom and the United States were working on systems to safely jettison their pilots as well.",The Explosive History of Ejection Seats,https://slate.com/human-interest/2015/07/the-explosive-history-of-ejection-seats-is-a-history-of-innovation-and-close-calls.html,https://arc.aiaa.org/doi/abs/10.2514/3.57504?journalCode=ja,,
Holography,1947,Dennis Gabor,Other,,,,,,,,,,
Hydraulic fracturing,1947,"Floyd Farris & J. B. Clark, Stanolind",,,,,,,,,https://www.construction-physics.com/p/the-technological-innovations-that,,
Transistor,1947,John Bardeen & Walter Brattain; theory by William Shockley,Electronic,,Yes,,,"""Julius Edgar Lilienfeld (April 18, 1882 – August 28, 1963) was an American electrical engineer and physicist who has been credited with the first patent on the field-effect transistor in 1925. He was never able to build a working practical semiconductor device based on his concept. Additionally, because he didn't publish articles in learned journals and since high-purity semiconductor materials were not available to him, his FET patent never achieved fame, causing confusion for later inventors"". Also Purdue researchers (crystal fire p152)","Wikipedia, Crystal Fire p152",https://en.wikipedia.org/wiki/Julius_Edgar_Lilienfeld,,,
Atomic clock,1948,"Harold Lyons, U.S. National Bureau of Standards",Other,,,,,,,,,,
Basic oxygen steelmaking,1948,Robert Durrer,Chemical,,,Yes,,"Bessemer patented using oxygen in furnace in the 1800s, and there were many other efforts. The tricky part was to maintain the lifetime of the converter bottom: ""Between 1936 and 1940, for example, 0. Lellep conducted experiments at Oberhausen, Germany, with the use of pure oxygen in a bottom-blown converter. While he succeeded in producing high quality steel at low cost, he found no way of preserving the service life of the converter bottom, and hence failed to come up with a commercially feasible process...By 1945 the Russians had built a special converter plant at their Kuznetsk Steel Works to study the production of Bessemer steel by use of an oxygenenriched or pure-oxygen blast in a bottom-blown converter. They too failed to develop a method for preserving the service life of the tuyeres when using 100 per cent concentration of oxygen"" ","BIG STEEL, INVENTION, AND INNOVATION",,,,
"""Bertie the Brain"" video game",1950,Josef Kates,Electronic,,,,Yes,"""The Nimrod was intended to demonstrate Ferranti's computer design and programming skills rather than to entertain, though Festival attendees were more interested in playing the game than the logic behind it. After its initial exhibition in May, the Nimrod was shown for three weeks in October 1951 at the Berlin Industrial Show before being dismantled.

The game of Nim running on the Nimrod is a candidate for one of the first video games, as it was one of the first computer games to have any sort of visual display of the game. It appeared only four years after the 1947 invention of the cathode-ray tube amusement device, the earliest known interactive electronic game to use an electronic display, and one year after Bertie the Brain, a computer similar to the Nimrod which played tic-tac-toe at the 1950 Canadian National Exhibition...Bennett's suggestion was supposedly inspired by an earlier Nim-playing machine, ""Nimatron"", which had been displayed in 1940 at the New York World's Fair.[2][3] The Nimatron machine had been designed by Edward Condon and constructed by Westinghouse Electric from electromechanical relays, and had weighed over a ton.[4] Although Bennett's suggestion was a game, his goal was to show off the computer's ability to do mathematical calculations, as Nim is based on mathematical principles, and thus showcase Ferranti's computer design and programming skills rather than to entertain""",Wikipedia,https://en.wikipedia.org/wiki/Nimrod_(computer),,,
Tokamak fusion reactor concept,1950,Igor Tamm and Andrei Sakharov,Other,,Yes,,,"Not Tokamaks but there were lots of fusion proposals: ""Almost as soon as fusion was discovered, people began to think of ways to use it as a power source. The first fusion reaction was produced in a laboratory in 1933 by using a particle accelerator to fire deuterium nuclei at each other, though it fused such a tiny number of them (one out of every 100 million accelerated) that experimenter Ernest Rutherford declared that “anyone who expects a source of power from the transformation of these atoms is talking moonshine.” But just six years later, Oxford physicist Peter Thonemann created a design for a fusion reactor, and in 1947 began performing fusion experiments by creating superheated plasmas contained within a magnetic field. Around this same time another British physicist, G.P. Thomson, had similar ideas for a fusion reactor, and in 1947 two doctoral students, Stan Cousins and Alan Ware, built their own apparatus to study fusion in superheated plasmas based on Thompson’s work. This early British fusion work may have been passed to the Soviets through the work of spies Klaus Fuchs and Bruno Pontecorvo, and by the early 1950s the Soviets had their own fusion power program.""",,https://www.construction-physics.com/p/will-we-ever-get-fusion-power,,,
Float glass process,1952,Alastair Pilkington,Chemical,,,,,,,,,,
Thermonuclear weapon,1952,Manhattan Project team,Chemical,,,,,Soviet program closely followed but this was heavily inspired by the US program,,,,,
